idx1,idx2,Person_ID_1,FirstName_1,LastName_1,DateOfBirth_1,blocking_key_1,Person_ID_2,FirstName_2,LastName_2,DateOfBirth_2,blocking_key_2,FirstName_sim,LastName_sim,DateOfBirth_eq,match_predito,match_verdadeiro
65,64,46600,wacaltos,virgile,1988-04-15,W2V61988,46600,wacaltos,virgile,1988-04-15,W2V61988,1.0,1.0,1,1,1
73,72,50865,natacha,cherenfant,1980-03-01,N3C61980,50865,natacha,cherenfant,1980-03-01,N3C61980,1.0,1.0,1,1,1
74,72,50865,natacha,cherenfant,1980-03-01,N3C61980,50865,natacha,cherenfant,1980-03-01,N3C61980,1.0,1.0,1,1,1
74,73,50865,natacha,cherenfant,1980-03-01,N3C61980,50865,natacha,cherenfant,1980-03-01,N3C61980,1.0,1.0,1,1,1
100,99,50866,gary,suuw,1955-10-01,G6S01955,50866,gary,s,1955-10-01,G6S01955,1.0,0.775,1,1,1
137,135,50907,frederick,estey,1977-05-12,F6E21977,50907,frederick,estey,1977-05-12,F6E21977,1.0,1.0,1,1,1
139,138,50887,theona,al,1979-01-12,T5A41979,50887,theona,alv,1979-01-12,T5A41979,1.0,0.9111111111111112,1,1,1
152,150,50882,milton,mobley,1987-08-05,M4M11987,50882,milton,mobley,1987-08-02,M4M11987,1.0,1.0,0,1,1
163,162,50902,gina,leon,1978-03-01,G5L51978,50902,gina,leon,1978-03-01,G5L51978,1.0,1.0,1,1,1
167,166,50903,evens,pericles,1966-10-13,E1P61966,50903,evens,pericles,1966-11-13,E1P61966,1.0,1.0,0,1,1
260,259,50924,williams,rodoxlu,1987-06-14,W4R31987,50924,williams,rodriguez,1987-09-14,W4R31987,1.0,0.671957671957672,0,0,1
269,268,25699,larry,medlock,1988-05-25,L6M31988,25699,larry,medlock,1988-08-25,L6M31988,1.0,1.0,0,1,1
284,283,50933,ryan,lear,1975-04-07,R5L61975,50933,ryan,lear,1975-04-07,R5L61975,1.0,1.0,1,1,1
298,297,22457,derrick,thomas,1981-10-16,D6T51981,22457,derrick,thomas,1981-11-12,D6T51981,1.0,1.0,0,1,1
318,27,50842,wili,mulligan,1986-10-25,W4M41986,50842,william,mulligan,1986-10-25,W4M41986,0.9,1.0,1,1,1
332,331,43496,kevin,jean,1992-11-11,K1J51992,43496,kevin,jean,1992-11-11,K1J51992,1.0,1.0,1,1,1
367,366,50915,derek,joy,1967-11-17,D6J01967,50915,derek,joy,1967-11-17,D6J01967,1.0,1.0,1,1,1
407,406,50939,shieem,moncrieffe,1993-06-18,S5M51993,50939,shieem,monce,1993-06-14,S5M51993,1.0,0.9,0,1,1
424,423,50944,marketta,burgess,1980-04-02,M6B61980,50944,marketta,bvrgjx,1980-04-02,M6B61980,1.0,0.6428571428571429,1,1,1
440,438,50953,tommy,wuju,1960-10-04,T5W21960,50953,tommy,wxbu,1960-10-04,T5W21960,1.0,0.6666666666666666,1,1,1
463,462,50961,reinaldo,pena- gonzalez,1985-04-10,R5P51985,50961,reinaldo,pena- gonzalez,1985-04-10,R5P51985,1.0,1.0,1,1,1
464,462,50961,reinaldo,pena- gonzalez,1985-04-10,R5P51985,50961,reinaldo,pena- gonzalez,1985-04-10,R5P51985,1.0,1.0,1,1,1
464,463,50961,reinaldo,pena- gonzalez,1985-04-10,R5P51985,50961,reinaldo,pena- gonzalez,1985-04-10,R5P51985,1.0,1.0,1,1,1
473,446,15195,clinton,johnson,1991-01-11,C4J51991,15195,clinton,johnson,1991-04-15,C4J51991,1.0,1.0,0,1,1
476,475,11820,jason,cypress,1972-01-16,J2C11972,11820,jason,cxptc,1972-01-16,J2C11972,1.0,0.5619047619047619,1,1,1
644,643,50996,orlando,kirlew,1990-09-07,O6K61990,50996,orlando,kirlew,1990-09-07,O6K61990,1.0,1.0,1,1,1
676,675,51000,brian,jean-bag,1994-06-05,B6J51994,51000,brian,jean-baptist,1994-05-05,B6J51994,1.0,0.8916666666666667,0,1,1
713,711,51047,kelly,hoang,1972-09-20,K4H51972,51047,kelly,hoang,1972-09-26,K4H51972,1.0,1.0,0,1,1
715,702,50928,adrian,dr,1993-11-29,A3D61993,50928,adad,dorsett,1993-11-29,A3D61993,0.8,0.7857142857142857,1,1,1
740,739,51033,dwrrilnat,rollins,1972-03-15,D6R41972,51033,drsrdvia,rollins,1972-03-15,D6R41972,0.7541666666666665,1.0,1,1,1
761,759,42676,manuel,taveras,1990-01-05,M5T11990,42676,manuel,taveras,1990-01-07,M5T11990,1.0,1.0,0,1,1
818,817,51055,joseph,costino,1954-03-12,J2C21954,51055,joseph,costino,1954-09-12,J2C21954,1.0,1.0,0,1,1
867,832,51079,brittany,s,1985-07-28,B6S01985,23615,brandon,s,1985-06-08,B6S01985,0.6904761904761904,1.0,0,0,0
890,889,51083,paul,sellas,1971-12-05,P4S41971,51083,paul,sellas,1971-12-09,P4S41971,1.0,1.0,0,1,1
959,958,51106,juwan,justice,1979-11-15,J5J21979,51106,juwan,justice,1979-11-15,J5J21979,1.0,1.0,1,1,1
967,966,51098,laricka,forbes,1982-10-05,L6F61982,51098,laricka,forbes,1982-10-05,L6F61982,1.0,1.0,1,1,1
1058,1056,43756,poltnice,gaet-jens,1985-03-23,P4G31985,43756,poltnice,gaet-jens,1985-03-23,P4G31985,1.0,1.0,1,1,1
1088,1087,51130,jonathan,garber,1991-06-03,J5G61991,51130,jonathan,garber,1991-06-03,J5G61991,1.0,1.0,1,1,1
1092,335,20491,jjjyu,mec,1992-07-18,J0M21992,30818,j,mcreed,1992-05-16,J0M21992,0.76,0.75,0,0,0
1103,1102,51135,fabienne,pierre-louis,1978-08-24,F1P61978,51135,fabienne,pierre-louis,1978-08-24,F1P61978,1.0,1.0,1,1,1
1112,1110,18382,alejandro,adan,1986-10-08,A4A31986,18382,alejandro,adan,1986-10-04,A4A31986,1.0,1.0,0,1,1
1139,1137,30652,michael,levy,1964-12-22,M2L11964,30652,michael,levy,1964-12-22,M2L11964,1.0,1.0,1,1,1
1157,1155,17967,steven,toussaint,1989-08-25,S3T21989,17967,steven,tkpszu,1989-08-25,S3T21989,1.0,0.5,1,1,1
1166,1164,51166,csriur,mndm,1984-11-25,C6M31984,51166,christian,mud,1984-11-25,C6M31984,0.6203703703703703,0.75,1,1,1
1187,1185,51162,dennis,satahoo,1958-02-23,D5S31958,51162,dennis,satahoo,1958-02-23,D5S31958,1.0,1.0,1,1,1
1229,1228,51189,kevon,williams,1991-08-27,K1W41991,51189,kevon,williams,1991-08-27,K1W41991,1.0,1.0,1,1,1
1246,1245,1186,rove,heil,1990-05-03,R1H41990,1186,robert,heil,1990-05-05,R1H41990,0.8,1.0,0,1,1
1264,1263,51199,richard,cundumgh,1983-12-14,R2C51983,51199,richard,cunningham,1983-12-13,R2C51983,1.0,0.8094444444444445,0,1,1
1273,1076,19657,thomas,rousseau,1981-02-11,T5R21981,51131,thomas,rjsek,1981-11-22,T5R21981,1.0,0.6583333333333333,0,0,0
1274,1076,19657,thomas,rousseau,1981-02-11,T5R21981,51131,thomas,rjsek,1981-11-22,T5R21981,1.0,0.6583333333333333,0,0,0
1274,1273,19657,thomas,rousseau,1981-02-11,T5R21981,19657,thomas,rousseau,1981-02-11,T5R21981,1.0,1.0,1,1,1
1279,1278,51207,monique,duplessis,1979-10-20,M5D11979,51207,monique,duplessis,1979-10-26,M5D11979,1.0,1.0,0,1,1
1292,1290,51186,juan,guwrreio,1985-11-21,J5G61985,51186,juan,guerrerocorral,1985-11-21,J5G61985,1.0,0.6706349206349206,1,1,1
1307,1306,12229,brain,semil,1987-10-08,B6S51987,12229,brain,semil,1987-10-08,B6S51987,1.0,1.0,1,1,1
1336,1335,30243,aquaria,mitchell,1993-01-14,A2M31993,30243,aquaria,mitchell,1993-01-12,A2M31993,1.0,1.0,0,1,1
1337,1335,30243,aquaria,mitchell,1993-01-14,A2M31993,30243,aquaria,mitchell,1993-01-12,A2M31993,1.0,1.0,0,1,1
1337,1336,30243,aquaria,mitchell,1993-01-14,A2M31993,30243,aquaria,mitchell,1993-01-14,A2M31993,1.0,1.0,1,1,1
1352,1350,51238,daniel,allen,1978-12-29,D5A41978,51238,daniel,allen,1978-12-29,D5A41978,1.0,1.0,1,1,1
1384,1383,37453,mci,stevens,1991-12-30,M2S31991,37453,makeel,stevens,1991-12-10,M2S31991,0.5,1.0,0,0,1
1421,1420,17692,tsr,s,1980-09-19,T2S01980,17692,tjrgr,s,1980-09-19,T2S01980,0.6888888888888888,1.0,1,1,1
1460,1459,51226,samantha,stsuria,1994-04-07,S5S31994,51226,samantha,stsuria,1994-01-07,S5S31994,1.0,1.0,0,1,1
1477,1476,51255,abraham,dbaron,1984-10-05,A1D11984,51255,abraham,diave,1984-10-05,A1D11984,1.0,0.5777777777777778,1,1,1
1478,1476,51255,abraham,dbaron,1984-10-05,A1D11984,51255,abraham,diave,1984-10-05,A1D11984,1.0,0.5777777777777778,1,1,1
1478,1477,51255,abraham,dbaron,1984-10-05,A1D11984,51255,abraham,dbaron,1984-10-05,A1D11984,1.0,1.0,1,1,1
1511,1509,51261,anthony,gonzalez,1978-07-11,A5G51978,51261,anthony,gjnzi,1978-07-11,A5G51978,1.0,0.6583333333333333,1,1,1
1519,1518,51253,darling,mxkbas,1987-04-10,D6M21987,51253,darling,max,1987-04-10,D6M21987,1.0,0.6666666666666666,1,1,1
1559,1558,13840,scott,albury,1990-12-20,S3A41990,13840,scott,albury,1990-12-29,S3A41990,1.0,1.0,0,1,1
1593,954,51304,sherri,w,1983-03-24,S6W01983,39814,shirlene,woo,1983-06-27,S6W01983,0.8022222222222223,0.7999999999999999,0,0,0
1640,1638,50997,raphale,dem,1994-10-16,R1D51994,50997,raphale,demeritte,1994-10-16,R1D51994,1.0,0.8444444444444443,1,1,1
1661,1660,41408,deborah,chamberlain,1972-05-21,D1C51972,41408,deborah,chamberlain,1972-06-28,D1C51972,1.0,1.0,0,1,1
1667,1666,51292,t,brown,1989-08-31,T0B61989,51292,ty,brown,1989-08-31,T0B61989,0.8500000000000001,1.0,1,1,1
1669,1668,51294,examon,jean baptiste,1955-12-15,E2J51955,51294,exglq,jean baptiste,1955-12-25,E2J51955,0.5777777777777778,1.0,0,0,1
1684,1683,51309,cindy,mulligan,1955-10-24,C5M41955,51309,cindy,mulligan,1955-10-24,C5M41955,1.0,1.0,1,1,1
1693,1692,51286,rj,gonzales,1970-05-07,R2G51970,51286,richard,gonzales,1970-05-07,R2G51970,0.5476190476190476,1.0,1,1,1
1694,1692,51286,richard,gonzales,1970-05-07,R2G51970,51286,richard,gonzales,1970-05-07,R2G51970,1.0,1.0,1,1,1
1694,1693,51286,richard,gonzales,1970-05-07,R2G51970,51286,rj,gonzales,1970-05-07,R2G51970,0.5476190476190476,1.0,1,1,1
1715,1714,2018,jacquelie,lebright,1966-08-31,J2L11966,2018,jicqhh,lebright,1966-08-31,J2L11966,0.611111111111111,1.0,1,1,1
1727,1726,3037,leonard,joiner,1989-12-16,L5J51989,3037,leonard,joiner,1989-12-16,L5J51989,1.0,1.0,1,1,1
1760,1759,51339,lorraine,bilecki,1943-04-15,L6B41943,51339,lorraine,bilecki,1943-04-15,L6B41943,1.0,1.0,1,1,1
1768,1767,51360,monica,churchill,1964-10-05,M5C61964,51360,monica,churchill,1964-10-07,M5C61964,1.0,1.0,0,1,1
1780,1122,39025,gerald,brandenburg,1967-12-07,G6B61967,51137,george,brent,1967-03-09,G6B61967,0.6666666666666666,0.6378787878787878,0,0,0
1793,1792,51326,ernesto,panduro-rojas,1962-10-26,E6P51962,51326,ernesto,panduro-rojas,1962-10-26,E6P51962,1.0,1.0,1,1,1
1819,1818,51317,craig,fazio,1975-06-16,C6F21975,51317,craig,fazio,1975-06-16,C6F21975,1.0,1.0,1,1,1
1822,1821,51324,carl,toussaint,1983-09-07,C6T21983,51324,carl,toussaint,1983-09-07,C6T21983,1.0,1.0,1,1,1
1828,1827,51345,steven,haynes,1966-01-23,S3H51966,51345,steven,haynes,1966-01-23,S3H51966,1.0,1.0,1,1,1
1832,1830,51337,kevin,monterio,1966-02-06,K1M51966,51337,kevin,monterio,1966-05-06,K1M51966,1.0,1.0,0,1,1
1868,1867,51352,ryan,mason,1983-02-17,R5M21983,51352,ryan,mason,1983-02-15,R5M21983,1.0,1.0,0,1,1
1900,1899,51364,mnchag,bowers,1963-03-31,M2B61963,51364,micheal,bowers,1963-03-30,M2B61963,0.7714285714285715,1.0,0,1,1
1907,1905,51378,marie,exume,1977-07-26,M6E21977,51378,marie,exume,1977-07-26,M6E21977,1.0,1.0,1,1,1
1915,1914,51367,paul,stephan,1946-07-13,P4S31946,51367,paul,stephan,1946-07-12,P4S31946,1.0,1.0,0,1,1
1916,1914,51367,paul,stephan,1946-07-12,P4S31946,51367,paul,stephan,1946-07-12,P4S31946,1.0,1.0,1,1,1
1916,1915,51367,paul,stephan,1946-07-12,P4S31946,51367,paul,stephan,1946-07-13,P4S31946,1.0,1.0,0,1,1
1928,1926,51376,henry,brand,1993-11-15,H5B61993,51376,henry,brand,1993-11-15,H5B61993,1.0,1.0,1,1,1
