idx1,idx2,Person_ID_1,FirstName_1,LastName_1,DateOfBirth_1,blocking_key_1,Person_ID_2,FirstName_2,LastName_2,DateOfBirth_2,blocking_key_2
1,0,50844,kevin,fisher,1992-12-05,K1F21992,50844,kevin,fisher,1992-12-05,K1F21992
5,3,50848,kevin,kendall,1984-09-16,K1K51984,50848,kevin,kendall,1984-09-19,K1K51984
11,9,50850,mikerlie,debe,1994-10-09,M2D11994,50850,mikerlie,debe,1994-10-09,M2D11994
17,16,50852,terrance,hollknd,1984-01-11,T6H41984,50852,terrdnce,holland,1984-01-11,T6H41984
20,18,50840,susana,colon,1966-10-17,S2C41966,50840,susana,colon,1966-10-17,S2C41966
22,21,50853,devaughn,brojn,1993-07-25,D1B61993,50853,devaughn,brown,1993-07-25,D1B61993
23,21,50853,devaughn,brown,1993-07-21,D1B61993,50853,devaughn,brown,1993-07-25,D1B61993
23,22,50853,devaughn,brown,1993-07-21,D1B61993,50853,devaughn,brojn,1993-07-25,D1B61993
32,31,50843,michuel,daviw,1993-11-08,M2D11993,50843,michael,davio,1993-11-08,M2D11993
35,34,50854,martin,martinez,1980-01-06,M6M61980,50854,martin,marbinez,1980-02-06,M6M61980
38,37,50849,korrney,coleman,1978-08-22,K6C41978,50849,kortney,colrman,1978-06-22,K6C41978
47,45,50856,evienpe,aame,1970-12-06,E1A51970,50856,evience,aimm,1970-12-06,E1A51970
49,48,50862,mckenzie,reijonen,1991-07-18,M2R21991,50862,mckenzie,reijonen,1991-07-18,M2R21991
50,48,50862,mckenzie,reijonen,1991-07-18,M2R21991,50862,mckenzie,reijonen,1991-07-18,M2R21991
50,49,50862,mckenzie,reijonen,1991-07-18,M2R21991,50862,mckenzie,reijonen,1991-07-18,M2R21991
53,52,50873,louis,sells,1985-05-17,L2S41985,50873,louis,sells,1985-05-17,L2S41985
55,54,50868,nadia,jorfe,1984-10-12,N3J61984,50868,nadia,jorfe,1984-10-16,N3J61984
62,60,50880,demetrius,weeks,1973-11-02,D5W21973,50880,demetrius,weeks,1973-11-02,D5W21973
64,63,46600,wacaltos,virgile,1988-04-15,W2V61988,46600,wacaltos,virgile,1988-04-15,W2V61988
65,63,46600,wacaltos,virgile,1988-04-15,W2V61988,46600,wacaltos,virgile,1988-04-15,W2V61988
65,64,46600,wacaltos,virgile,1988-04-15,W2V61988,46600,wacaltos,virgile,1988-04-15,W2V61988
68,67,50858,elizabech,maddox,1981-02-20,E4M31981,50858,elgzabeth,maddox,1981-02-20,E4M31981
70,69,50864,jules,canuet,1989-10-17,J4C51989,50864,jules,canuet,1989-10-19,J4C51989
71,69,50864,julus,canuht,1989-10-17,J4C51989,50864,jules,canuet,1989-10-19,J4C51989
71,70,50864,julus,canuht,1989-10-17,J4C51989,50864,jules,canuet,1989-10-17,J4C51989
73,72,50865,natacha,cherenfant,1980-03-01,N3C61980,50865,natacha,cherennant,1980-03-01,N3C61980
77,75,50871,ricky,brownlee,1975-11-03,R2B61975,50871,ricky,brownlee,1975-11-03,R2B61975
80,78,50875,daniel,renz,1978-12-20,D5R51978,50875,daniel,renz,1978-12-20,D5R51978
82,81,29205,akeine,banner,1988-11-10,A2B51988,29205,akeine,banier,1988-11-10,A2B51988
83,81,29205,akeine,banner,1988-11-10,A2B51988,29205,akeine,banier,1988-11-10,A2B51988
83,82,29205,akeine,banner,1988-11-10,A2B51988,29205,akeine,banner,1988-11-10,A2B51988
88,87,50872,tracy,cross,1994-08-06,T6C61994,50872,tracy,cross,1994-08-06,T6C61994
91,90,50860,melvtn,stewart,1989-02-28,M4S31989,50860,melvin,stewart,1989-02-28,M4S31989
92,90,50860,melvin,sterart,1989-02-28,M4S31989,50860,melvin,stewart,1989-02-28,M4S31989
92,91,50860,melvin,sterart,1989-02-28,M4S31989,50860,melvtn,stewart,1989-02-28,M4S31989
94,93,50861,rfbecca,lowery,1960-04-18,R1L61960,50861,rebecha,lowery,1960-04-18,R1L61960
95,93,50861,rebecta,lowery,1960-04-10,R1L61960,50861,rebecha,lowery,1960-04-18,R1L61960
95,94,50861,rebecta,lowery,1960-04-10,R1L61960,50861,rfbecca,lowery,1960-04-18,R1L61960
97,96,50879,freddie,busj,1967-07-31,F6B21967,50879,frevdie,bush,1967-07-11,F6B21967
100,99,50866,gary,schwab,1955-10-01,G6S11955,50866,gary,schwab,1955-10-01,G6S11955
103,102,46280,victor,morales,1984-10-22,V2M61984,46280,victob,morales,1984-10-22,V2M61984
104,102,46280,victor,morales,1984-10-20,V2M61984,46280,victob,morales,1984-10-22,V2M61984
104,103,46280,victor,morales,1984-10-20,V2M61984,46280,victor,morales,1984-10-22,V2M61984
107,106,50876,vanessa,albeno,1974-07-20,V5A41974,50876,vanessa,albino,1974-07-20,V5A41974
110,109,50859,victor,lee,1987-12-13,V2L01987,50859,victyr,lee,1987-12-13,V2L01987
113,111,50863,charles,mccord,1991-04-14,C6M21991,50863,charles,mccord,1991-04-14,C6M21991
115,114,50869,fred,ruff,1943-08-28,F6R11943,50869,fred,ruff,1943-08-28,F6R11943
118,117,42067,craie,casselman,1977-09-26,C6C21977,42067,craif,casselman,1977-05-26,C6C21977
122,120,50857,jenab,doe,1987-10-07,J5D01987,50857,jency,doe,1987-10-07,J5D01987
